BehaviorSpace results (NetLogo 6.1.1),,,,
ButterflyCorridorsExperimentStarter.nlogo,,,,
experiment,,,,
02/14/2020 13:09:12:117 +0000,,,,
min-pxcor,max-pxcor,min-pycor,max-pycor,
0,149,0,149,
[run number],q,num-butterflies,[step],corridor-width
1,0,50,999,220.7468612
2,0.1,50,999,169.9862287
3,0.2,50,999,88.56408954
4,0.3,50,999,51.79975283
5,0.4,50,999,40.37014361
6,0.5,50,999,29.60168941
7,0.6,50,999,17.31004421
8,0.7,50,999,19.47373745
9,0.8,50,999,21.80851181
10,0.9,50,999,15.91838513
11,1,50,999,1.028991511
